entry_uuid,categories,entry_date,entry_date_dt,entry_text_split,scrape_timestamp
79cecbbe-893b-4179-852f-248015b24460,['Public Statements / Tweets'],"August 2, 2017",2017-08-02 00:00:00,Press Secretary Sarah Huckabee Sanders admitted during her daily press briefing that the Boy Scouts of America never called the president to say his speech to their organization was the “greatest speech ever made to them.” This is contrary to claims Donald Trump had made to the Wall Street Journal.,2020-11-05 02:35:36.663680
221578cc-49bc-4395-a575-82030e9f9c29,['Public Statements / Tweets'],"September 25, 2018",2018-09-25 00:00:00,"Donald Trump addressed the United Nations and was laughed at after stating, “In less than two years, my administration has accomplished more than almost any administration in the history of our country.” As the audience laughed, Trump added, “So true.” Trump later claimed that that “They weren’t laughing at me, they were laughing with me.”",2020-11-05 02:35:36.664023
1d5fc621-4d0b-45ff-af11-c2f25e18b038,['Trump Family Business Dealings'],"January 20, 2018",2018-01-20 00:00:00,"As of January 20, 2018, Donald Trump had spent 94 days as president at one of his golf properties.",2020-11-05 02:35:36.664248
ec6afa85-2a9d-4e6c-9669-2763e195b545,"['Public Statements / Tweets', 'Collusion with Russia & Obstruction of Justice']","August 20, 2020",2020-08-20 00:00:00,"In order to prevent voter fraud, Trump said, he will order law enforcement to the polls on November 3. “We’re going to have sheriffs, and we’re going to have law enforcement. And we’re going to have hopefully U.S. attorneys, and we’re going to have everybody and attorney generals,” he said. Law enforcement is barred at polling places in several states because of concerns over voter intimidation.",2020-11-05 02:35:36.664549
cde64c95-a915-4307-84e9-520c547dd47d,['Trump Staff & Administration'],"January 22, 2017",2017-01-22 00:00:00,"Senior White House counselor Kellyanne Conway said that Sean Spicer’s false statements about the crowd size at Donald Trump’s inauguration were not lies, but “alternative facts.”",2020-11-05 02:35:36.664800
f4fabcd1-c693-4ae3-b024-995018e9562e,['Trump Staff & Administration'],"July 8, 2017",2017-07-08 00:00:00,"After Donald Trump left his seat among other world leaders during the G20 summit in order to attend another meeting, Ivanka Trump took his place. Given that Ivanka is his daughter, a business owner, and an unelected figure in the White House, many questioned the propriety of her presence at the high-level diplomatic meeting.",2020-11-05 02:35:36.665051
3ce4e8ef-f973-45cb-938f-a456fb5e6762,['Public Statements / Tweets'],"October 4, 2017",2017-10-04 00:00:00,"On October 4, 2017, four soldiers in the United States Armed Forces were killed in Niger by ISIS-affiliated combatants. When asked at a press conference on October 16 why he still hadn’t spoken about the fallen soldiers, Trump said he had written the families personal letters, which would “go out either today or tomorrow.” He also insinuated at the press conference that President Obama had not called the families of fallen soldiers. This was untrue. Obama had called Gold Star families throughout his presidency, as confirmed by both Obama’s staff and the families themselves. The night after the press conference, Donald Trump placed a condolence call to Myeshia Johnson, the widow of fallen serviceman Sgt. La David Johnson. The following week, Mrs. Johnson appeared on Good Morning America to discuss her husband’s life and her call with the president. Mrs. Johnson said Trump forgot her husband’s name during the call, and that she “heard him stumbling” as he tried to remember. Less than an hour after the interview aired, President Trump suggested the Gold Star widow had been lying, writing on Twitter, “I had a very respectful conversation with the widow of Sgt. La David Johnson, and",2020-11-05 02:35:36.665522
b13902a0-16c8-492c-8537-683336efacaf,['Trump Staff & Administration'],"May 16, 2017",2017-05-16 00:00:00,"A company called Summerbreeze LLC took out a $3.5 million mortgage on Paul Manafort’s home in Bridgehampton, New York. The company never filed the paperwork with Suffolk County to indicate who was accountable for the multimillion-dollar mortgage, nor did the company pay the $36,000 in taxes incurred by the agreement.",2020-11-05 02:35:36.665813
0a6304a8-7810-41a5-83d3-7b81b2fdbf6b,['Public Statements / Tweets'],"October 12, 2017",2017-10-12 00:00:00,"While Puerto Rico was still reeling a month after Hurricane Maria made landfall—with 90 percent of the island still without electricity and 40 percent without clean drinking water—Donald Trump responded to critics on Twitter by saying, “We cannot keep FEMA, the Military & the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!” Five months after the hurricane, 400,000 Puerto Ricans still did not have power.",2020-11-05 02:35:36.666177
fcb84466-19b3-42ac-a99d-50791072b946,['Public Statements / Tweets'],"September 3, 2020",2020-09-03 00:00:00,"Trump belittled his rival, Joe Biden, for wearing a mask during the pandemic, telling rally-goers in Pennsylvania, “Did you ever see a man who likes a mask as much as him?” The president added, “It gives him a feeling of security. If I were a psychiatrist, right, you know I’d say: ‘This guy’s got some big issues.’ ” Most who attended the rally did not wear masks.",2020-11-05 02:35:36.666443
e5ade85a-aa9e-427e-ac1a-3f1dc66e194b,['Policy'],"June 27, 2020",2020-06-27 00:00:00,"Reports emerged that staffers of Tulsa’s BOK Center, which hosted Trump’s June 20th rally, affixed DO NOT SIT HERE, PLEASE! stickers to arena seats to create social distancing. Before the event, however, Trump’s campaign had thousands of the stickers removed.",2020-11-05 02:35:36.666925
4d05638e-1e4f-4c59-9d17-82f18eab0c0a,['Public Statements / Tweets'],April 13,2020-04-13 00:00:00,"The Treasury Department ordered that Trump’s name appear on the $1,200 stimulus checks that millions of Americans were to receive. Part of the government’s $2 trillion coronavirus rescue package, the checks were proposed by Sens. Josh Hawley (R-Mo.) and Mitt Romney ­(R-Utah). No IRS disbursement had ever carried a president’s name. According to administration officials who spoke on the condition of anonymity, it was Trump’s idea to have his name printed on the checks.",2020-11-05 02:35:36.667229
2eda9de1-0e67-4647-bbf1-4fb1620ad35e,"['Public Statements / Tweets', 'White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia']","August 13, 2020",2020-08-13 00:00:00,"Trump, who had spread the lie that Obama was born in Kenya, gave credence to the conspiracy theory that Kamala Harris could not be vice president because her parents were immigrants. “I heard it today that she doesn’t meet the requirements,” Trump said of Harris, who was born in California and is thus eligible for the vice presidency and presidency. “I have no idea if that’s right. I would have thought, I would have assumed, that the Democrats would have checked that out before she gets chosen to run for vice president.”",2020-11-05 02:35:36.667524
dfa8b9f2-949c-4694-9fb9-f88e5735e6ec,['Policy'],"April 28, 2017",2017-04-28 00:00:00,The Environmental Protection Agency removed or altered all information about climate change on its website. The EPA claimed that this update sought to “reflect the approach of new leadership.”,2020-11-05 02:35:36.667822
fef4b126-b5c6-4d0d-a538-80119eed763e,"['White Supremacy, Racism, Homophobia, Transphobia, & Xenophobia', 'Policy']","August 1, 2017",2017-08-01 00:00:00,"The Trump campaign chose a noted white nationalist, William Johnson, to serve among California’s delegates for the next presidential election. Johnson leads the American Freedom Party, which operates with the stated mission of upholding “the customs and the heritage of European American People.” Johnson said after his appointment to the delegation, “I can be a white nationalist and be a strong supporter of Donald Trump and be a good example to everybody.”",2020-11-05 02:35:36.668368
d7f10247-9b8f-480d-ba02-8daabbee2d08,['Public Statements / Tweets'],"April 23, 2020",2020-04-23 00:00:00,"Prompting widespread alarm, Trump speculated about ingesting or injecting disinfectants to fight the coronavirus. “Because you see it gets in the lungs and it does a tremendous number on the lungs, so it would be interesting to check that,” he said at his daily briefing. He also mused about the use of ultraviolet light. “Supposing we hit the body with a tremendous—whether it’s ultraviolet or just very powerful light,” he said. “And I think you said that hasn’t been checked, but we’re going to test it?” Health officials and manufacturers of household cleaners urged Americans not to follow Trump’s proposed remedies. The next day, New York City’s poison control center reported more than twice the calls related to household disinfectants than it received for a comparable timeframe in 2019.",2020-11-05 02:35:36.668677
85261257-0682-4555-bdc8-d49bf24182f2,"['Public Statements / Tweets', 'Policy', 'Collusion with Russia & Obstruction of Justice']","August 13, 2020",2020-08-13 00:00:00,Trump said he opposed $25 billion in emergency aid for the U.S. Postal Service. He made the unfounded claim that the coronavirus relief funding would help the service process “fraudulent” mail ballots for the November election.,2020-11-05 02:35:36.669045
16cb58d0-3bdd-4913-bc6f-9d5ca48e51ec,"['Public Statements / Tweets', 'Collusion with Russia & Obstruction of Justice']","August 4, 2020",2020-08-04 00:00:00,"Trump’s campaign sued Nevada, arguing that a bill allowing voters to mail in election ballots would lead to fraud. In a tweet, Trump called the legislation “an illegal late-night coup,” adding, “See you in Court!”",2020-11-05 02:35:36.669385
a15faac8-804f-4c44-9520-7a9f62d21d11,['Public Statements / Tweets'],"April 5, 2020",2020-04-05 00:00:00,"The U.S. stockpiled 29 million hydroxychloroquine pills, even though health experts doubted its efficacy and warned about its dangerous side effects. Trump pushed for hydroxychloroquine as a treatment for COVID-19. “What do I know?” he said at a news briefing. “I’m not a doctor. But I have common sense.”",2020-11-05 02:35:36.669684
